log,max_bonddim,status,step,phase,seconds,krylov_nobs,krylov_min,krylov_max,krylov_mean
H77_T4_m8.log,8,completed,1,startup_combined,181.050267,,,,
H77_T4_m8.log,8,completed,2,normal,47.697005,194,13,17,15.010309278350515
H77_T4_m8.log,8,completed,3,normal,47.993730,194,13,17,14.927835051546392
H77_T4_m8.log,8,completed,4,normal,47.588732,194,13,15,14.855670103092784
H77_T4_m8.log,8,completed,5,normal,47.370157,194,13,15,14.814432989690722
H77_T4_m8.log,8,completed,6,normal,47.324190,194,13,15,14.762886597938145
H77_T4_m8.log,8,completed,7,normal,47.377053,194,13,15,14.742268041237113
H77_T4_m8.log,8,completed,8,normal,47.285957,194,13,15,14.587628865979381
H77_T4_m8.log,8,completed,9,normal,47.683628,194,13,15,14.329896907216495
H77_T4_m8.log,8,completed,10,normal,47.459531,194,13,15,14.185567010309278
H77_T4_m8.log,8,completed,11,normal,47.636141,194,13,15,13.927835051546392
H77_T4_m8.log,8,completed,12,normal,47.181967,194,13,15,13.845360824742269
H77_T4_m8.log,8,completed,13,normal,47.237542,194,13,15,13.711340206185566
H77_T4_m8.log,8,completed,14,normal,46.952006,194,13,15,13.556701030927835
H77_T4_m8.log,8,completed,15,normal,46.979670,194,13,15,13.505154639175258
H77_T4_m8.log,8,completed,16,normal,46.758012,194,13,15,13.422680412371134
H77_T4_m8.log,8,completed,17,normal,46.860080,194,11,15,13.309278350515465
H77_T4_m8.log,8,completed,18,normal,46.821768,194,11,15,13.216494845360824
H77_T4_m8.log,8,completed,19,normal,46.882214,194,11,15,13.175257731958762
H77_T4_m8.log,8,completed,20,normal,46.533064,194,11,15,13.072164948453608
H77_T4_m8.log,8,completed,21,normal,46.769698,194,11,15,13.061855670103093
H77_T4_m8.log,8,completed,22,normal,46.683621,194,11,15,12.97938144329897
H77_T4_m8.log,8,completed,23,normal,46.606782,194,11,15,12.938144329896907
H77_T4_m8.log,8,completed,24,normal,46.503559,194,11,15,12.907216494845361
H77_T4_m8.log,8,completed,25,normal,46.675110,194,11,15,12.907216494845361
H77_T4_m8.log,8,completed,26,normal,46.529713,194,11,15,12.88659793814433
H77_T4_m8.log,8,completed,27,normal,46.816402,194,11,15,12.845360824742269
H77_T4_m8.log,8,completed,28,normal,46.703410,194,11,15,12.845360824742269
H77_T4_m8.log,8,completed,29,normal,46.743977,194,11,15,12.804123711340207
H77_T4_m8.log,8,completed,30,normal,46.804287,194,11,15,12.793814432989691
H77_T4_m8.log,8,completed,31,normal,46.555216,194,11,15,12.793814432989691
H77_T4_m8.log,8,completed,32,normal,46.436944,194,11,15,12.783505154639176
H77_T4_m8.log,8,completed,33,normal,46.637129,194,11,15,12.762886597938145
H77_T4_m8.log,8,completed,34,normal,46.590435,194,11,15,12.742268041237113
H77_T4_m8.log,8,completed,35,normal,46.842427,194,11,15,12.721649484536082
H77_T4_m8.log,8,completed,36,normal,46.551591,194,11,15,12.711340206185566
H77_T4_m8.log,8,completed,37,normal,46.521225,194,11,15,12.711340206185566
H77_T4_m8.log,8,completed,38,normal,46.763043,194,11,15,12.70103092783505
H77_T4_m8.log,8,completed,39,normal,46.685103,194,11,15,12.70103092783505
H77_T4_m8.log,8,completed,40,normal,46.425765,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,41,normal,46.679728,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,42,normal,46.326076,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,43,normal,46.759724,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,44,normal,46.659869,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,45,normal,46.704213,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,46,normal,46.609882,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,47,normal,46.470905,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,48,normal,46.414917,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,49,normal,46.411775,194,11,15,12.690721649484535
H77_T4_m8.log,8,completed,50,normal,46.203513,194,11,15,12.68041237113402
H77_T4_m8.log,8,completed,51,normal,46.488823,194,11,15,12.68041237113402
