temperature,method,chi,reference_method,reference_chi,epsilon,t_epsilon,censored,max_error,t_max
0.0,singleset,16,multiset,32,0.001,0.8642118884247267,False,0.40782520311752624,25.000000000000085
0.0,singleset,16,multiset,32,0.003,1.012313276810433,False,0.40782520311752624,25.000000000000085
0.0,singleset,16,multiset,32,0.01,1.2164775540167523,False,0.40782520311752624,25.000000000000085
0.0,singleset,16,multiset,32,0.03,1.4751774787104919,False,0.40782520311752624,25.000000000000085
0.0,singleset,16,multiset,32,0.1,1.9145098518173609,False,0.40782520311752624,25.000000000000085
0.25,singleset,16,multiset,32,0.001,0.8262058539616622,False,0.4343614403992557,25.000000000000085
0.25,singleset,16,multiset,32,0.003,0.9678009861476011,False,0.4343614403992557,25.000000000000085
0.25,singleset,16,multiset,32,0.01,1.1624004269967783,False,0.4343614403992557,25.000000000000085
0.25,singleset,16,multiset,32,0.03,1.4065628863374846,False,0.4343614403992557,25.000000000000085
0.25,singleset,16,multiset,32,0.1,1.8113799609395511,False,0.4343614403992557,25.000000000000085
0.5,singleset,16,multiset,32,0.001,0.8092212499465792,False,0.4792583841815232,25.000000000000085
0.5,singleset,16,multiset,32,0.003,0.9420096575356904,False,0.4792583841815232,25.000000000000085
0.5,singleset,16,multiset,32,0.01,1.131673276252029,False,0.4792583841815232,25.000000000000085
0.5,singleset,16,multiset,32,0.03,1.3626263762055417,False,0.4792583841815232,25.000000000000085
0.5,singleset,16,multiset,32,0.1,1.7446651102596917,False,0.4792583841815232,25.000000000000085
1.0,singleset,16,multiset,32,0.001,0.747157575910609,False,0.5315762448647283,25.000000000000085
1.0,singleset,16,multiset,32,0.003,0.8811480542677165,False,0.5315762448647283,25.000000000000085
1.0,singleset,16,multiset,32,0.01,1.052118264378507,False,0.5315762448647283,25.000000000000085
1.0,singleset,16,multiset,32,0.03,1.2603508053304546,False,0.5315762448647283,25.000000000000085
1.0,singleset,16,multiset,32,0.1,1.5954612763643274,False,0.5315762448647283,25.000000000000085
2.0,singleset,16,multiset,32,0.001,0.6482724152844122,False,0.5921413384611762,25.000000000000085
2.0,singleset,16,multiset,32,0.003,0.7845135337838371,False,0.5921413384611762,25.000000000000085
2.0,singleset,16,multiset,32,0.01,0.9470478234882639,False,0.5921413384611762,25.000000000000085
2.0,singleset,16,multiset,32,0.03,1.1404510267340011,False,0.5921413384611762,25.000000000000085
2.0,singleset,16,multiset,32,0.1,1.442128589770833,False,0.5921413384611762,25.000000000000085
4.0,singleset,16,multiset,32,0.001,0.4810020193702395,False,0.7873844988381018,25.000000000000085
4.0,singleset,16,multiset,32,0.003,0.6607362189797166,False,0.7873844988381018,25.000000000000085
4.0,singleset,16,multiset,32,0.01,0.8437428576108325,False,0.7873844988381018,25.000000000000085
4.0,singleset,16,multiset,32,0.03,1.0362891949034483,False,0.7873844988381018,25.000000000000085
4.0,singleset,16,multiset,32,0.1,1.3296272056073741,False,0.7873844988381018,25.000000000000085
0.0,singleset,32,multiset,32,0.001,1.4770569303049985,False,0.22426525825632249,25.000000000000085
0.0,singleset,32,multiset,32,0.003,1.6662485104911158,False,0.22426525825632249,25.000000000000085
0.0,singleset,32,multiset,32,0.01,1.9434399841323984,False,0.22426525825632249,25.000000000000085
0.0,singleset,32,multiset,32,0.03,2.393173426961574,False,0.22426525825632249,25.000000000000085
0.0,singleset,32,multiset,32,0.1,4.849000750685334,False,0.22426525825632249,25.000000000000085
0.25,singleset,32,multiset,32,0.001,1.2208239329376074,False,0.2587457885262907,25.000000000000085
0.25,singleset,32,multiset,32,0.003,1.4225075567748804,False,0.2587457885262907,25.000000000000085
0.25,singleset,32,multiset,32,0.01,1.70791707492586,False,0.2587457885262907,25.000000000000085
0.25,singleset,32,multiset,32,0.03,2.0591421716836718,False,0.2587457885262907,25.000000000000085
0.25,singleset,32,multiset,32,0.1,4.552349059435577,False,0.2587457885262907,25.000000000000085
0.5,singleset,32,multiset,32,0.001,1.0020610439245399,False,0.2471843363649775,25.000000000000085
0.5,singleset,32,multiset,32,0.003,1.2104128602970605,False,0.2471843363649775,25.000000000000085
0.5,singleset,32,multiset,32,0.01,1.477485417269789,False,0.2471843363649775,25.000000000000085
0.5,singleset,32,multiset,32,0.03,1.7953045486397283,False,0.2471843363649775,25.000000000000085
0.5,singleset,32,multiset,32,0.1,2.388439819619379,False,0.2471843363649775,25.000000000000085
1.0,singleset,32,multiset,32,0.001,0.8434416403436894,False,0.3007634297451456,25.000000000000085
1.0,singleset,32,multiset,32,0.003,1.0516669508760055,False,0.3007634297451456,25.000000000000085
1.0,singleset,32,multiset,32,0.01,1.3193576945090335,False,0.3007634297451456,25.000000000000085
1.0,singleset,32,multiset,32,0.03,1.6071774182120895,False,0.3007634297451456,25.000000000000085
1.0,singleset,32,multiset,32,0.1,2.0616980246541985,False,0.3007634297451456,25.000000000000085
2.0,singleset,32,multiset,32,0.001,0.8715920835370629,False,0.38205483722391964,25.000000000000085
2.0,singleset,32,multiset,32,0.003,1.03847021002706,False,0.38205483722391964,25.000000000000085
2.0,singleset,32,multiset,32,0.01,1.2425739538783083,False,0.38205483722391964,25.000000000000085
2.0,singleset,32,multiset,32,0.03,1.4753721618054447,False,0.38205483722391964,25.000000000000085
2.0,singleset,32,multiset,32,0.1,1.8456251385715607,False,0.38205483722391964,25.000000000000085
4.0,singleset,32,multiset,32,0.001,0.5076069874719745,False,0.6189081100897091,25.000000000000085
4.0,singleset,32,multiset,32,0.003,0.8003392145231184,False,0.6189081100897091,25.000000000000085
4.0,singleset,32,multiset,32,0.01,1.0808358387283927,False,0.6189081100897091,25.000000000000085
4.0,singleset,32,multiset,32,0.03,1.325336645751944,False,0.6189081100897091,25.000000000000085
4.0,singleset,32,multiset,32,0.1,1.675255199305254,False,0.6189081100897091,25.000000000000085
0.0,singleset,64,multiset,32,0.001,2.2437078273535946,False,0.17914566191878833,25.000000000000085
0.0,singleset,64,multiset,32,0.003,2.5738644559057104,False,0.17914566191878833,25.000000000000085
0.0,singleset,64,multiset,32,0.01,4.53132331567974,False,0.17914566191878833,25.000000000000085
0.0,singleset,64,multiset,32,0.03,5.305489753660151,False,0.17914566191878833,25.000000000000085
0.0,singleset,64,multiset,32,0.1,17.402549580720063,False,0.17914566191878833,25.000000000000085
0.25,singleset,64,multiset,32,0.001,1.687459946653643,False,0.2176674471282447,25.000000000000085
0.25,singleset,64,multiset,32,0.003,2.2219882304452794,False,0.2176674471282447,25.000000000000085
0.25,singleset,64,multiset,32,0.01,2.8369776236344846,False,0.2176674471282447,25.000000000000085
0.25,singleset,64,multiset,32,0.03,5.014720193888987,False,0.2176674471282447,25.000000000000085
0.25,singleset,64,multiset,32,0.1,14.560227049062332,False,0.2176674471282447,25.000000000000085
0.5,singleset,64,multiset,32,0.001,1.7238234835339665,False,0.21975348047848664,25.000000000000085
0.5,singleset,64,multiset,32,0.003,2.037008688317523,False,0.21975348047848664,25.000000000000085
0.5,singleset,64,multiset,32,0.01,2.4430413167208442,False,0.21975348047848664,25.000000000000085
0.5,singleset,64,multiset,32,0.03,3.076371332505521,False,0.21975348047848664,25.000000000000085
0.5,singleset,64,multiset,32,0.1,13.71418715330808,False,0.21975348047848664,25.000000000000085
1.0,singleset,64,multiset,32,0.001,1.5180427930166829,False,0.23241587145376164,25.000000000000085
1.0,singleset,64,multiset,32,0.003,1.7678357967081935,False,0.23241587145376164,25.000000000000085
1.0,singleset,64,multiset,32,0.01,2.081742007415302,False,0.23241587145376164,25.000000000000085
1.0,singleset,64,multiset,32,0.03,2.46535611009228,False,0.23241587145376164,25.000000000000085
1.0,singleset,64,multiset,32,0.1,5.296450412598972,False,0.23241587145376164,25.000000000000085
2.0,singleset,64,multiset,32,0.001,1.1362954802401646,False,0.29052119424807943,25.000000000000085
2.0,singleset,64,multiset,32,0.003,1.4096841408674614,False,0.29052119424807943,25.000000000000085
2.0,singleset,64,multiset,32,0.01,1.7072829907795923,False,0.29052119424807943,25.000000000000085
2.0,singleset,64,multiset,32,0.03,2.0289165126342286,False,0.29052119424807943,25.000000000000085
2.0,singleset,64,multiset,32,0.1,2.563626562797256,False,0.29052119424807943,25.000000000000085
4.0,singleset,64,multiset,32,0.001,0.5286776902730315,False,0.4614366804395842,25.000000000000085
4.0,singleset,64,multiset,32,0.003,0.8936018128916021,False,0.4614366804395842,25.000000000000085
4.0,singleset,64,multiset,32,0.01,1.283176895136924,False,0.4614366804395842,25.000000000000085
4.0,singleset,64,multiset,32,0.03,1.6287175493411465,False,0.4614366804395842,25.000000000000085
4.0,singleset,64,multiset,32,0.1,2.0987940525214897,False,0.4614366804395842,25.000000000000085
0.0,multiset,8,multiset,32,0.001,4.195052448431367,False,0.16667884308488778,25.000000000000085
0.0,multiset,8,multiset,32,0.003,4.466230194341612,False,0.16667884308488778,25.000000000000085
0.0,multiset,8,multiset,32,0.01,4.968530372525909,False,0.16667884308488778,25.000000000000085
0.0,multiset,8,multiset,32,0.03,7.260618739898005,False,0.16667884308488778,25.000000000000085
0.0,multiset,8,multiset,32,0.1,10.182183888980237,False,0.16667884308488778,25.000000000000085
0.25,multiset,8,multiset,32,0.001,3.677717950793587,False,0.11311553104719962,25.000000000000085
0.25,multiset,8,multiset,32,0.003,4.47532819512412,False,0.11311553104719962,25.000000000000085
0.25,multiset,8,multiset,32,0.01,4.9882180929987605,False,0.11311553104719962,25.000000000000085
0.25,multiset,8,multiset,32,0.03,7.4367556402971875,False,0.11311553104719962,25.000000000000085
0.25,multiset,8,multiset,32,0.1,19.729118213770498,False,0.11311553104719962,25.000000000000085
0.5,multiset,8,multiset,32,0.001,2.3763415127803116,False,0.1478948761473089,25.000000000000085
0.5,multiset,8,multiset,32,0.003,5.22115370373021,False,0.1478948761473089,25.000000000000085
0.5,multiset,8,multiset,32,0.01,7.053596934389067,False,0.1478948761473089,25.000000000000085
0.5,multiset,8,multiset,32,0.03,8.079740129199951,False,0.1478948761473089,25.000000000000085
0.5,multiset,8,multiset,32,0.1,19.203991330585563,False,0.1478948761473089,25.000000000000085
1.0,multiset,8,multiset,32,0.001,1.9609143121684527,False,0.04501840473228347,25.000000000000085
1.0,multiset,8,multiset,32,0.003,2.30406780443839,False,0.04501840473228347,25.000000000000085
1.0,multiset,8,multiset,32,0.01,3.1987092201259815,False,0.04501840473228347,25.000000000000085
1.0,multiset,8,multiset,32,0.03,8.25273447006512,False,0.04501840473228347,25.000000000000085
1.0,multiset,8,multiset,32,0.1,25.000000000000085,True,0.04501840473228347,25.000000000000085
2.0,multiset,8,multiset,32,0.001,1.3017768470365434,False,0.12097222912666394,25.000000000000085
2.0,multiset,8,multiset,32,0.003,1.7627225161309328,False,0.12097222912666394,25.000000000000085
2.0,multiset,8,multiset,32,0.01,2.1485251888355723,False,0.12097222912666394,25.000000000000085
2.0,multiset,8,multiset,32,0.03,2.6003679694029334,False,0.12097222912666394,25.000000000000085
2.0,multiset,8,multiset,32,0.1,4.439582449781352,False,0.12097222912666394,25.000000000000085
4.0,multiset,8,multiset,32,0.001,0.7460660897761394,False,0.30373607312009243,25.000000000000085
4.0,multiset,8,multiset,32,0.003,1.1081160845743172,False,0.30373607312009243,25.000000000000085
4.0,multiset,8,multiset,32,0.01,1.718141504314968,False,0.30373607312009243,25.000000000000085
4.0,multiset,8,multiset,32,0.03,2.099828145566997,False,0.30373607312009243,25.000000000000085
4.0,multiset,8,multiset,32,0.1,2.6841955925863443,False,0.30373607312009243,25.000000000000085
0.0,multiset,16,multiset,32,0.001,3.766004998214961,False,0.08775918294414486,25.000000000000085
0.0,multiset,16,multiset,32,0.003,4.394687322358423,False,0.08775918294414486,25.000000000000085
0.0,multiset,16,multiset,32,0.01,5.163342711135365,False,0.08775918294414486,25.000000000000085
0.0,multiset,16,multiset,32,0.03,7.986575103950179,False,0.08775918294414486,25.000000000000085
0.0,multiset,16,multiset,32,0.1,25.000000000000085,True,0.08775918294414486,25.000000000000085
0.25,multiset,16,multiset,32,0.001,3.5063661281764955,False,0.08509005776220313,25.000000000000085
0.25,multiset,16,multiset,32,0.003,4.198991089097489,False,0.08509005776220313,25.000000000000085
0.25,multiset,16,multiset,32,0.01,5.249786784670651,False,0.08509005776220313,25.000000000000085
0.25,multiset,16,multiset,32,0.03,7.889638628273365,False,0.08509005776220313,25.000000000000085
0.25,multiset,16,multiset,32,0.1,25.000000000000085,True,0.08509005776220313,25.000000000000085
0.5,multiset,16,multiset,32,0.001,2.994388311534431,False,0.08221212834297864,25.000000000000085
0.5,multiset,16,multiset,32,0.003,3.5753968740123874,False,0.08221212834297864,25.000000000000085
0.5,multiset,16,multiset,32,0.01,5.107497053667988,False,0.08221212834297864,25.000000000000085
0.5,multiset,16,multiset,32,0.03,8.79656416061491,False,0.08221212834297864,25.000000000000085
0.5,multiset,16,multiset,32,0.1,25.000000000000085,True,0.08221212834297864,25.000000000000085
1.0,multiset,16,multiset,32,0.001,2.416825216383355,False,0.03689870116423677,25.000000000000085
1.0,multiset,16,multiset,32,0.003,2.875100030914544,False,0.03689870116423677,25.000000000000085
1.0,multiset,16,multiset,32,0.01,8.973197257970677,False,0.03689870116423677,25.000000000000085
1.0,multiset,16,multiset,32,0.03,13.634173303308833,False,0.03689870116423677,25.000000000000085
1.0,multiset,16,multiset,32,0.1,25.000000000000085,True,0.03689870116423677,25.000000000000085
2.0,multiset,16,multiset,32,0.001,1.6761968991241267,False,0.0480864620957675,25.000000000000085
2.0,multiset,16,multiset,32,0.003,2.1947944704853484,False,0.0480864620957675,25.000000000000085
2.0,multiset,16,multiset,32,0.01,2.6760137753778643,False,0.0480864620957675,25.000000000000085
2.0,multiset,16,multiset,32,0.03,3.370277001683421,False,0.0480864620957675,25.000000000000085
2.0,multiset,16,multiset,32,0.1,25.000000000000085,True,0.0480864620957675,25.000000000000085
4.0,multiset,16,multiset,32,0.001,0.9230901021328896,False,0.1294945826850986,25.000000000000085
4.0,multiset,16,multiset,32,0.003,1.408251500994651,False,0.1294945826850986,25.000000000000085
4.0,multiset,16,multiset,32,0.01,2.1065897413571375,False,0.1294945826850986,25.000000000000085
4.0,multiset,16,multiset,32,0.03,2.723072468162949,False,0.1294945826850986,25.000000000000085
4.0,multiset,16,multiset,32,0.1,4.558428917164743,False,0.1294945826850986,25.000000000000085
