node_index	dof_str	entropy_M256_tindex200
0	('root',)	-0
1	('OT 1-2',)	3.171086648736479
2	('OT 0',)	2.599024973147149
3	('OT 0 e and R',)	1.256290547227204
4	('LE0', 'CS0')	0.6753462498709552
5	('R',)	0.7652549770202262
6	(('OT 0 vib', 0),)	1.928833850675313
7	(('OT 0 vib', 1),)	0.829371036260078
8	(('OT 0 vib', 2),)	0.008625919735046788
9	((0, 0),)	0.005768698531040352
10	((0, 1),)	0.003034249042434346
11	(('OT 0 vib', 3),)	0.8220236437966565
12	((0, 2),)	0.6189012316253955
13	((0, 3),)	0.3091263415186494
14	(('OT 0 vib', 4),)	1.25147898529374
15	(('OT 0 vib', 5),)	0.5540555954081363
16	((0, 4),)	0.3157588817097804
17	((0, 5),)	0.2552041153126778
18	(('OT 0 vib', 6),)	0.7284877940198438
19	((0, 6),)	0.2971769853159983
20	((0, 7),)	0.4730314509123508
21	('OT 1',)	1.481984762772596
22	('LE1', 'CS1')	0.3157073207787689
23	(('OT 1 vib', 0),)	1.20083969922302
24	(('OT 1 vib', 1),)	0.495686800655461
25	(('OT 1 vib', 2),)	0.00427349693165449
26	((1, 0),)	0.003864871421233774
27	((1, 1),)	0.0004512136411254364
28	(('OT 1 vib', 3),)	0.4917428002150442
29	((1, 2),)	0.3130943861788896
30	((1, 3),)	0.2127914255592421
31	(('OT 1 vib', 4),)	0.7384889922282112
32	(('OT 1 vib', 5),)	0.4837838074191869
33	((1, 4),)	0.2821371917959775
34	((1, 5),)	0.2182762339925056
35	(('OT 1 vib', 6),)	0.2801335158020228
36	((1, 6),)	0.1643812088685602
37	((1, 7),)	0.1226104375586266
38	(('OT 3-6', 1),)	2.976866399069758
39	(('OT 3-6', 2),)	2.055445993090367
40	('OT 2',)	1.193624511535999
41	('LE2', 'CS2')	0.2466491552949291
42	(('OT 2 vib', 0),)	0.9815892797674062
43	(('OT 2 vib', 1),)	0.3682591845150078
44	(('OT 2 vib', 2),)	0.002235782528919848
45	((2, 0),)	0.002090296582275294
46	((2, 1),)	0.0001473255038692555
47	(('OT 2 vib', 3),)	0.3662948497907362
48	((2, 2),)	0.2279044102217855
49	((2, 3),)	0.1687555886735913
50	(('OT 2 vib', 4),)	0.6377043323818988
51	(('OT 2 vib', 5),)	0.3864691145932948
52	((2, 4),)	0.2320571532135864
53	((2, 5),)	0.1672373278799311
54	(('OT 2 vib', 6),)	0.2659208250621333
55	((2, 6),)	0.1586969047130196
56	((2, 7),)	0.1121427848331294
57	('OT 3',)	1.045357388015304
58	('LE3', 'CS3')	0.2689022789832543
59	(('OT 3 vib', 0),)	0.8177073820329839
60	(('OT 3 vib', 1),)	0.2914043454715474
61	(('OT 3 vib', 2),)	0.001409591200423906
62	((3, 0),)	0.001361998036498096
63	((3, 1),)	4.792664503908441e-05
64	(('OT 3 vib', 3),)	0.2901725411057604
65	((3, 2),)	0.1822318545745318
66	((3, 3),)	0.1300807533876583
67	(('OT 3 vib', 4),)	0.5430884107825739
68	(('OT 3 vib', 5),)	0.3017750880899458
69	((3, 4),)	0.1848378175578069
70	((3, 5),)	0.1255598765992666
71	(('OT 3 vib', 6),)	0.250213856714822
72	((3, 6),)	0.1339836010653263
73	((3, 7),)	0.1204046229505563
74	(('OT 3-6', 3),)	1.512081682481266
75	('OT 4',)	0.9015969796245477
76	('LE4', 'CS4')	0.2595917876041067
77	(('OT 4 vib', 0),)	0.6847966550670643
78	(('OT 4 vib', 1),)	0.2408319007451558
79	(('OT 4 vib', 2),)	0.0009209146664130336
80	((4, 0),)	0.0008991346103046198
81	((4, 1),)	2.187053610479766e-05
82	(('OT 4 vib', 3),)	0.2400050186981546
83	((4, 2),)	0.1559684885353693
84	((4, 3),)	0.1024902237973493
85	(('OT 4 vib', 4),)	0.4562549333262579
86	(('OT 4 vib', 5),)	0.2298164380448753
87	((4, 4),)	0.1412545668772226
88	((4, 5),)	0.09313175161608926
89	(('OT 4 vib', 6),)	0.2321527473591244
90	((4, 6),)	0.1284955020645404
91	((4, 7),)	0.1068498142283988
92	('OT 5',)	0.7396891917788915
93	('LE5', 'CS5')	0.216187537586036
94	(('OT 5 vib', 0),)	0.5563113325146904
95	(('OT 5 vib', 1),)	0.1969549221850766
96	(('OT 5 vib', 2),)	0.0005988915548362837
97	((5, 0),)	0.0005874329284931812
98	((5, 1),)	1.153968134588059e-05
99	(('OT 5 vib', 3),)	0.1963888557279481
100	((5, 2),)	0.1253737046390705
101	((5, 3),)	0.08672746229052113
102	(('OT 5 vib', 4),)	0.3689712706736408
103	(('OT 5 vib', 5),)	0.172427178337069
104	((5, 4),)	0.1091781127636742
105	((5, 5),)	0.06617090859208673
106	(('OT 5 vib', 6),)	0.2010156260434905
107	((5, 6),)	0.1204939850797121
108	((5, 7),)	0.08266097825793479
109	('OT 7-13 and F',)	3.270876763898353
110	('OT 7-13',)	2.492737428985063
111	('OT 7-9',)	1.656684325840056
112	('OT 6',)	0.6350127736746984
113	('LE6', 'CS6')	0.2023303288596142
114	(('OT 6 vib', 0),)	0.4657083677940899
115	(('OT 6 vib', 1),)	0.1588573017033
116	(('OT 6 vib', 2),)	0.0003628971676136984
117	((6, 0),)	0.0003542923583712583
118	((6, 1),)	8.70421963034194e-06
119	(('OT 6 vib', 3),)	0.1585329470284375
120	((6, 2),)	0.1011591005978774
121	((6, 3),)	0.06968452414102817
122	(('OT 6 vib', 4),)	0.3149054318740938
123	(('OT 6 vib', 5),)	0.1334281722221544
124	((6, 4),)	0.07604154263463851
125	((6, 5),)	0.05920956733593551
126	(('OT 6 vib', 6),)	0.1847708663993438
127	((6, 6),)	0.1096745590740604
128	((6, 7),)	0.0760832712601844
129	('OT 8-9',)	1.194601962910904
130	('OT 7',)	0.6844256036236012
131	('LE7', 'CS7')	0.2643138096262712
132	(('OT 7 vib', 0),)	0.4735491774085128
133	(('OT 7 vib', 1),)	0.1497943446282055
134	(('OT 7 vib', 2),)	0.0003463194693980622
135	((7, 0),)	0.0003327195079573129
136	((7, 1),)	1.374457217056598e-05
137	(('OT 7 vib', 3),)	0.149501789749382
138	((7, 2),)	0.1018835766426351
139	((7, 3),)	0.05844639574810069
140	(('OT 7 vib', 4),)	0.3352192313434159
141	(('OT 7 vib', 5),)	0.1310941618604657
142	((7, 4),)	0.08398869402542811
143	((7, 5),)	0.04817640596064299
144	(('OT 7 vib', 6),)	0.2073317211190187
145	((7, 6),)	0.1208222811942199
146	((7, 7),)	0.08727537810121205
147	('OT 8',)	0.6386457670183771
148	('LE8', 'CS8')	0.2778515071610522
149	(('OT 8 vib', 0),)	0.4167091148318284
150	(('OT 8 vib', 1),)	0.1363692490458567
151	(('OT 8 vib', 2),)	0.0003502621319606991
152	((8, 0),)	0.000336079908096395
153	((8, 1),)	1.437956289128366e-05
154	(('OT 8 vib', 3),)	0.1360854398703565
155	((8, 2),)	0.09408778885150182
156	((8, 3),)	0.05221997133867867
157	(('OT 8 vib', 4),)	0.2910010027470009
158	(('OT 8 vib', 5),)	0.1016114150459793
159	((8, 4),)	0.06480329192482412
160	((8, 5),)	0.03812709578918943
161	(('OT 8 vib', 6),)	0.1921301591701195
162	((8, 6),)	0.09784548404186177
163	((8, 7),)	0.09502066077300787
164	(('OT 10-13', 1),)	1.558612584959581
165	(('OT 10-13', 2),)	1.043123270032471
166	('OT 9',)	0.5845970699365342
167	('LE9', 'CS9')	0.268072848883432
168	(('OT 9 vib', 0),)	0.3702502276730185
169	(('OT 9 vib', 1),)	0.1125449008175599
170	(('OT 9 vib', 2),)	0.0001734856037878162
171	((9, 0),)	0.0001595040444187412
172	((9, 1),)	1.43249220694152e-05
173	(('OT 9 vib', 3),)	0.112431323411584
174	((9, 2),)	0.07870532716924661
175	((9, 3),)	0.04219033607412425
176	(('OT 9 vib', 4),)	0.268918067685133
177	(('OT 9 vib', 5),)	0.1029119050245258
178	((9, 4),)	0.06519395683441137
179	((9, 5),)	0.03879377594918235
180	(('OT 9 vib', 6),)	0.16861001239372
181	((9, 6),)	0.06048515553089043
182	((9, 7),)	0.1089805625705198
183	('OT 10',)	0.5772697564342291
184	('LE10', 'CS10')	0.2662174625182193
185	(('OT 10 vib', 0),)	0.3677498107886866
186	(('OT 10 vib', 1),)	0.1058779291234656
187	(('OT 10 vib', 2),)	0.0001619511163794117
188	((10, 0),)	0.0001470542876684725
189	((10, 1),)	1.532895891569465e-05
190	(('OT 10 vib', 3),)	0.1057572291774319
191	((10, 2),)	0.07596834203773171
192	((10, 3),)	0.03750570698958101
193	(('OT 10 vib', 4),)	0.2737355705712444
194	(('OT 10 vib', 5),)	0.08827044723592353
195	((10, 4),)	0.05965751685024049
196	((10, 5),)	0.02960005772429927
197	(('OT 10 vib', 6),)	0.188711928805309
198	((10, 6),)	0.06675846434007904
199	((10, 7),)	0.1231430089319407
200	(('OT 10-13', 3),)	0.7790682101939924
201	('OT 11',)	0.5389095486317044
202	('LE11', 'CS11')	0.2255839531343163
203	(('OT 11 vib', 0),)	0.3612384807065303
